?defined_class	?defined_class_label	?cellular_component	?cellular_component_label	?cellular_process	?cellular_process_label
<http://purl.obolibrary.org/obo/GO_0080119>	"ER body organization"	<http://purl.obolibrary.org/obo/GO_0010168>	"ER body"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0007030>	"Golgi organization"	<http://purl.obolibrary.org/obo/GO_0005794>	"Golgi apparatus"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0030719>	"P granule organization"	<http://purl.obolibrary.org/obo/GO_0043186>	"P granule"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0045232>	"S-layer organization"	<http://purl.obolibrary.org/obo/GO_0030115>	"S-layer"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0033292>	"T-tubule organization"	<http://purl.obolibrary.org/obo/GO_0030315>	"T-tubule"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0044396>	"actin cortical patch organization"	<http://purl.obolibrary.org/obo/GO_0030479>	"actin cortical patch"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0030036>	"actin cytoskeleton organization"	<http://purl.obolibrary.org/obo/GO_0015629>	"actin cytoskeleton"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0061572>	"actin filament bundle organization"	<http://purl.obolibrary.org/obo/GO_0032432>	"actin filament bundle"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0007015>	"actin filament organization"	<http://purl.obolibrary.org/obo/GO_0005884>	"actin filament"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0044837>	"actomyosin contractile ring organization"	<http://purl.obolibrary.org/obo/GO_0005826>	"actomyosin contractile ring"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0031032>	"actomyosin structure organization"	<http://purl.obolibrary.org/obo/GO_0042641>	"actomyosin"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0034332>	"adherens junction organization"	<http://purl.obolibrary.org/obo/GO_0005912>	"adherens junction"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0009660>	"amyloplast organization"	<http://purl.obolibrary.org/obo/GO_0009501>	"amyloplast"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0030953>	"astral microtubule organization"	<http://purl.obolibrary.org/obo/GO_0000235>	"astral microtubule"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_1905037>	"autophagosome organization"	<http://purl.obolibrary.org/obo/GO_0005776>	"autophagosome"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0044781>	"bacterial-type flagellum organization"	<http://purl.obolibrary.org/obo/GO_0009288>	"bacterial-type flagellum"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0071711>	"basement membrane organization"	<http://purl.obolibrary.org/obo/GO_0005604>	"basement membrane"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0098784>	"biofilm matrix organization"	<http://purl.obolibrary.org/obo/GO_0097312>	"biofilm matrix component"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0045230>	"capsule organization"	<http://purl.obolibrary.org/obo/GO_0042603>	"capsule"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0043163>	"cell envelope organization"	<http://purl.obolibrary.org/obo/GO_0030313>	"cell envelope"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
<http://purl.obolibrary.org/obo/GO_0034330>	"cell junction organization"	<http://purl.obolibrary.org/obo/GO_0030054>	"cell junction"	<http://purl.obolibrary.org/obo/GO_0016043>	"cellular component organization"
